LINK	ANODE	BNODE	AB_000_015	AB_015_030	AB_030_045	AB_045_100	AB_100_115	AB_115_130	AB_130_145	AB_145_200	AB_200_215	AB_215_230	AB_230_245	AB_245_300	AB_300_315	AB_315_330	AB_330_345	AB_345_400	BA_000_015	BA_015_030	BA_030_045	BA_045_100	BA_100_115	BA_115_130	BA_130_145	BA_145_200	BA_200_215	BA_215_230	BA_230_245	BA_245_300	BA_300_315	BA_315_330	BA_330_345	BA_345_400
97	47	58	46.6	50.0	55.5	59.8	56.4	47.7	47.3	47.1	47.7	50.1	48.4	37.9	44.4	34.7	44.4	44.4	36.2	36.4	36.5	36.7	36.3	36.7	36.4	36.6	36.2	36.4	36.3	36.0	36.1	36.1	35.8	35.6
98	48	59	63.4	93.2	161.3	64.3	111.1	95.0	145.1	800.0	2000.0	2000.0	2000.0	2000.0	66.7	66.7	64.4	66.7	48.5	48.0	48.1	48.2	48.7	49.2	48.7	49.1	49.4	49.0	48.8	48.7	47.9	47.4	47.8	47.3
99	49	60	69.6	118.2	186.6	185.5	365.0	877.2	1818.2	2000.0	2000.0	2000.0	2000.0	2000.0	2000.0	211.9	66.7	66.7	48.3	48.3	48.8	48.6	49.1	48.7	49.0	49.4	48.6	49.0	48.8	48.6	48.3	49.2	47.4	48.0
100	50	61	59.1	113.8	467.3	1149.4	2000.0	917.4	800.0	515.5	436.7	512.8	67.7	47.1	55.4	50.8	46.8	44.4	36.8	36.8	36.4	36.5	46.7	69.0	67.8	39.2	39.6	36.4	36.7	36.5	36.4	36.2	36.3	35.9
101	51	62	83.8	122.9	219.8	729.9	2000.0	2000.0	2000.0	1785.7	2000.0	2000.0	2000.0	2000.0	2000.0	350.9	60.4	66.7	48.4	48.2	48.7	48.8	47.9	48.2	48.9	48.7	48.6	48.1	48.3	48.1	48.7	48.1	48.9	47.9
102	52	63	102.4	94.1	84.1	165.3	425.5	1666.7	1612.9	1694.9	1515.2	2000.0	2000.0	2000.0	2000.0	1724.1	50.5	66.7	48.2	48.1	47.9	48.6	48.9	49.3	48.8	48.4	48.0	67.2	193.8	100.1	48.9	48.4	47.5	48.4
103	53	64	73.7	230.4	885.0	2000.0	2000.0	2000.0	1960.8	2000.0	2000.0	2000.0	2000.0	1724.1	662.3	366.3	128.9	44.4	36.2	36.4	36.2	39.0	49.9	115.7	507.6	2000.0	2000.0	2000.0	2000.0	2000.0	1818.2	458.7	36.0	35.7
104	54	65	57.3	53.6	55.7	54.9	56.8	62.7	56.8	53.3	51.0	48.1	49.4	50.6	50.4	50.8	66.7	66.7	48.0	48.2	48.0	47.9	48.0	48.7	48.6	48.1	47.5	46.7	48.0	47.2	48.1	48.6	47.9	47.6
105	55	66	52.4	52.3	52.5	51.9	52.8	51.5	52.6	52.7	49.9	51.8	50.0	50.9	49.2	49.6	66.7	66.7	48.4	48.2	48.3	48.5	48.9	48.5	49.0	47.7	48.6	48.1	48.0	48.1	47.8	48.4	47.4	47.9
106	56	57	36.4	36.2	36.2	36.2	36.3	36.4	36.2	36.4	35.8	44.4	44.4	44.4	44.4	44.4	44.4	44.4	36.0	35.5	35.6	35.6	36.3	35.7	36.1	36.7	35.8	35.7	35.9	35.8	35.7	36.2	35.6	35.5
107	57	58	45.1	48.3	47.2	46.8	54.7	66.4	60.5	79.2	70.9	44.4	44.4	44.4	44.4	44.4	44.4	44.4	36.7	36.0	36.0	36.3	36.7	36.1	37.0	37.5	36.5	36.0	35.7	36.2	36.0	36.2	36.2	35.9
108	58	59	36.3	36.7	36.7	36.4	36.4	36.6	93.0	746.3	1063.8	840.3	531.9	160.8	44.4	44.4	35.8	44.4	66.5	170.9	244.5	263.2	166.7	95.6	45.0	50.1	44.7	42.6	43.2	44.0	43.6	43.8	41.3	46.2
109	59	60	36.3	36.8	36.7	36.6	137.2	595.2	2000.0	1960.8	1754.4	1369.9	1754.4	1123.6	1123.6	458.7	44.4	44.4	36.8	36.2	37.0	36.7	37.1	36.2	38.2	78.7	99.5	121.7	251.9	144.5	35.8	35.8	35.4	35.3
