LINK	ANODE	BNODE	AB_000_015	AB_015_030	AB_030_045	AB_045_100	AB_100_115	AB_115_130	AB_130_145	AB_145_200	AB_200_215	AB_215_230	AB_230_245	AB_245_300	AB_300_315	AB_315_330	AB_330_345	AB_345_400	BA_000_015	BA_015_030	BA_030_045	BA_045_100	BA_100_115	BA_115_130	BA_130_145	BA_145_200	BA_200_215	BA_215_230	BA_230_245	BA_245_300	BA_300_315	BA_315_330	BA_330_345	BA_345_400
153	83	84	73	181	133	72	46	50	44	26	49	15	26	17	5	0	0	64	86	139	130	95	70	122	67	70	14	17	28	25	8	12	5	20
154	84	85	72	172	120	76	44	47	46	27	18	19	17	23	11	5	1	30	97	144	97	58	58	88	74	76	12	3	4	10	7	39	9	0
155	85	86	66	160	114	69	78	66	58	55	16	9	14	18	14	6	0	19	85	135	104	42	50	60	72	67	6	3	3	7	19	65	8	0
156	86	87	80	203	134	42	18	18	23	26	12	10	12	15	57	109	1	5	70	100	77	84	93	93	89	68	3	0	0	0	0	0	0	0
157	87	88	51	136	79	31	9	11	10	12	6	4	6	4	26	60	4	3	34	66	61	45	43	66	55	39	1	0	0	0	1	2	1	0
158	78	89	54	62	32	29	39	38	64	46	15	13	8	4	3	2	4	0	27	79	97	51	59	32	25	19	4	0	8	3	2	0	1	3
159	79	90	74	109	41	30	34	53	70	81	20	59	25	13	6	7	7	2	35	125	100	87	93	61	39	33	15	0	5	5	0	2	2	3
160	80	91	269	272	236	348	388	463	444	379	246	200	155	45	39	30	85	4	211	304	345	374	436	315	278	214	260	221	42	22	8	20	4	59
161	81	92	118	96	33	44	59	91	90	100	45	29	27	12	13	6	18	6	44	83	110	86	88	79	78	48	13	0	6	1	1	3	2	6
162	82	93	118	84	33	33	38	63	111	86	48	32	22	50	19	19	11	19	42	95	112	102	116	62	84	57	16	0	7	5	0	1	4	5
163	83	94	317	328	233	203	177	349	368	506	337	82	190	182	35	4	8	619	221	353	424	488	497	500	322	231	74	115	150	160	25	27	70	228
164	84	95	78	95	34	34	32	39	56	50	27	28	40	43	24	29	15	55	57	117	124	103	68	62	55	43	22	8	20	11	4	6	8	39
165	85	96	101	71	47	38	24	59	104	55	36	11	21	49	37	60	6	60	53	116	111	104	94	83	59	34	12	1	10	7	1	2	0	26
166	86	97	237	249	198	159	166	250	354	325	153	95	126	237	395	437	72	7	210	362	474	463	471	418	397	274	31	5	34	14	6	5	3	41
167	87	98	77	68	40	33	19	53	93	69	15	7	11	21	57	77	4	1	47	131	97	98	65	61	36	40	3	0	1	2	5	5	0	6
168	88	99	65	46	30	34	31	42	49	56	9	4	5	9	25	52	8	0	54	106	59	56	41	49	32	26	1	0	1	5	4	12	0	9
169	89	90	119	110	97	99	110	106	120	98	8	0	0	0	0	0	0	0	147	189	103	35	51	43	48	58	88	30	39	26	16	7	25	44
170	90	91	229	253	220	222	203	228	243	214	25	0	0	0	0	0	0	0	269	354	206	104	132	103	114	102	190	52	84	59	37	16	53	97
171	91	92	374	427	342	360	315	350	422	410	117	84	38	1	1	2	0	0	392	482	358	224	221	201	205	159	228	29	117	105	42	45	39	314
172	92	93	466	521	424	418	377	413	462	489	135	79	52	0	0	0	0	0	448	513	433	252	213	201	241	202	129	34	159	133	44	54	51	420
173	93	94	498	557	494	465	410	453	516	566	100	42	107	35	8	3	2	1	486	520	438	233	201	204	208	218	139	31	203	133	37	54	61	524
174	94	95	533	536	414	356	300	346	380	320	25	6	195	42	6	6	15	433	482	484	416	265	212	175	130	96	108	35	166	149	54	105	116	682
175	95	96	480	514	395	358	283	339	327	145	13	20	206	14	12	11	12	463	456	480	422	345	260	231	256	80	111	37	135	139	57	104	61	503
176	96	97	401	444	363	326	267	309	294	132	19	11	170	41	14	17	4	368	349	404	333	294	238	248	323	242	99	25	72	104	95	151	41	100
177	97	98	257	256	143	109	85	98	146	112	33	33	82	103	141	155	21	165	205	249	230	219	204	199	234	279	22	0	0	0	0	0	0	0
178	98	99	132	122	61	50	36	46	69	70	15	15	39	64	69	91	14	74	81	117	100	106	99	96	107	146	12	0	0	1	0	0	0	0
179	89	100	65	36	15	19	32	42	50	47	67	23	16	13	11	8	18	33	57	63	65	51	56	57	54	48	2	0	0	0	0	0	0	0
180	90	101	54	41	28	43	55	64	80	58	81	44	35	24	21	12	17	47	71	94	72	91	82	83	84	59	5	0	0	0	0	0	0	0
181	91	102	84	94	154	202	225	254	217	169	181	81	90	65	30	35	51	152	163	234	226	231	248	244	229	206	28	1	0	0	0	0	0	0
182	92	103	36	21	34	42	57	86	104	81	46	13	27	32	10	9	14	85	82	101	101	84	76	86	88	82	5	0	0	0	0	1	0	0
183	93	104	34	34	28	42	40	68	81	104	35	15	39	31	9	10	5	81	73	87	105	108	84	87	97	101	7	0	0	0	0	0	0	0
184	94	105	54	142	126	130	113	228	257	248	52	19	101	77	35	20	10	242	187	245	263	278	290	287	254	212	23	0	4	0	0	0	0	0
185	95	106	20	30	21	45	31	48	22	20	25	14	19	24	24	23	17	123	74	111	112	94	66	71	52	42	14	17	22	22	4	7	4	18
186	96	107	31	52	37	43	42	82	91	40	27	4	33	49	11	43	11	104	97	94	100	79	82	92	91	51	14	4	8	13	4	3	1	0
187	97	108	79	144	129	124	154	231	284	204	69	33	125	124	124	103	20	126	167	237	261	233	268	231	243	202	11	0	0	0	0	0	0	0
188	98	109	37	34	34	38	44	70	104	78	27	17	38	50	54	43	10	59	75	93	96	97	98	88	62	63	1	0	1	0	0	0	0	0
189	99	110	33	22	26	29	36	54	70	67	11	12	28	43	40	42	13	39	42	63	59	57	58	62	62	72	4	0	0	0	1	1	0	1
190	100	101	50	44	48	52	46	46	44	54	2	0	0	2	0	0	0	0	28	33	13	24	34	39	51	34	59	25	20	21	12	6	13	40
191	101	102	84	83	75	81	85	82	78	95	4	0	0	0	0	0	0	0	47	38	26	35	61	86	79	62	82	32	31	39	13	11	23	84
192	102	103	58	43	39	71	85	65	72	79	16	16	6	0	1	0	1	2	46	57	42	45	36	45	64	71	26	5	7	16	5	3	6	58
193	103	104	82	54	57	66	87	75	84	92	14	14	2	0	0	0	0	0	54	51	27	40	25	54	59	88	26	6	20	21	9	8	6	81
