METADATA	Wed Dec 11 15:07:58 2013	BOX_LENGTH	0	CELL_LENGTH	7.5	SAMPLE_TIME	1	INCREMENT	86400	NUM_BINS	6	VEHICLE_TYPE	0	VEHICLE_SUBTYPE	0
LINK	DIR	OFFSET	TIME	SPEED0	SPEED1	SPEED2	SPEED3	SPEED4	SPEED5
115	1	1000.0	24:00	95	213	1010	6580	22254	0
116	0	1000.0	24:00	72	158	3919	14736	100	0
116	1	1000.0	24:00	821	1121	3895	14801	0	0
117	0	1000.0	24:00	117	230	5816	21573	111	0
117	1	1000.0	24:00	2896	1683	5480	20824	0	0
118	0	1000.0	24:00	174800	6266	6512	36161	109997	0
118	1	1000.0	24:00	331476	338955	15701	11888	30211	0
119	0	1000.0	24:00	164	406	8146	29837	140	0
119	1	1000.0	24:00	395100	12061	7824	29738	0	0
120	0	1000.0	24:00	162	382	7988	29493	110	0
120	1	1000.0	24:00	117045	34755	6408	23477	0	0
121	0	1000.0	24:00	148347	68134	9956	42339	124065	0
121	1	1000.0	24:00	357063	336618	19915	21745	61949	0
122	0	1000.0	24:00	32832	1031	8526	29341	43	0
122	1	1000.0	24:00	120619	45110	5443	19327	0	0
123	0	1000.0	24:00	124	560	7931	27859	46	0
123	1	1000.0	24:00	521026	30881	6396	22832	0	0
124	0	1000.0	24:00	1862	1487	5120	35757	108143	0
124	1	1000.0	24:00	995180	26862	7239	31071	100907	0
125	0	1000.0	24:00	101	275	6263	22866	105	0
125	1	1000.0	24:00	2487	1914	6263	23406	0	0
126	0	1000.0	24:00	54	170	4055	15185	114	0
126	1	1000.0	24:00	764	1092	3641	14318	0	0
127	0	1000.0	24:00	17	38	2497	9736	0	0
127	1	1000.0	24:00	51	136	3016	11636	0	0
128	0	1000.0	24:00	811587	27065	4326	15745	0	0
128	1	1000.0	24:00	65	527	6773	22208	26	0
129	0	1000.0	24:00	82	328	6538	23869	70	0
129	1	1000.0	24:00	461240	13349	5590	20906	0	0
130	0	1000.0	24:00	70	153	6758	25694	0	0
130	1	1000.0	24:00	93	214	6732	25994	0	0
131	0	1000.0	24:00	201527	56013	4427	15397	0	0
131	1	1000.0	24:00	160	556	8675	30212	51	0
132	0	1000.0	24:00	2337	471	7887	28452	107	0
132	1	1000.0	24:00	223524	52525	4908	16794	0	0
133	0	1000.0	24:00	102	206	6878	26282	0	0
133	1	1000.0	24:00	29219	543	6295	24235	0	0
134	0	1000.0	24:00	138168	7479	6248	23450	0	0
134	1	1000.0	24:00	195	266	6018	22198	73	0
135	0	1000.0	24:00	92	336	6592	24477	130	0
135	1	1000.0	24:00	61109	5095	5862	21637	0	0
136	0	1000.0	24:00	47	123	2915	11418	0	0
136	1	1000.0	24:00	81	72	2614	10223	0	0
137	0	1000.0	24:00	33	104	3057	11581	0	0
137	1	1000.0	24:00	43	74	2927	11514	0	0
138	0	1000.0	24:00	83	150	4622	18538	0	0
138	1	1000.0	24:00	130	179	4955	18643	0	0
139	0	1000.0	24:00	147574	3769	2765	30849	107144	0
139	1	1000.0	24:00	231351	233779	4572	13855	47697	0
140	0	1000.0	24:00	77	198	6699	25644	0	0
140	1	1000.0	24:00	98	156	6142	23575	0	0
141	0	1000.0	24:00	117	217	6705	26185	0	0
141	1	1000.0	24:00	211	208	6400	24418	0	0
142	0	1000.0	24:00	295869	173824	13526	29447	96291	0
142	1	1000.0	24:00	268903	178028	4590	25943	89376	0
143	0	1000.0	24:00	82	197	6630	25305	0	0
143	1	1000.0	24:00	16200	337	6978	26384	0	0
144	0	1000.0	24:00	105	191	6560	25019	0	0
144	1	1000.0	24:00	86	174	6342	24402	0	0
145	0	1000.0	24:00	1666	874	1997	29686	105609	0
145	1	1000.0	24:00	1784	1059	2138	28240	99147	0
146	0	1000.0	24:00	55	125	4906	19568	0	0
146	1	1000.0	24:00	39	120	4876	18725	0	0
147	0	1000.0	24:00	54	131	3437	13288	0	0
147	1	1000.0	24:00	13	65	3190	12076	0	0
148	0	1000.0	24:00	23	39	2532	10015	0	0
148	1	1000.0	24:00	54	142	2977	11610	0	0
149	0	1000.0	24:00	394650	12687	5035	18569	0	0
149	1	1000.0	24:00	115	520	7168	24239	83	0
150	0	1000.0	24:00	116	249	5541	20726	78	0
150	1	1000.0	24:00	227046	6051	5524	20844	0	0
151	0	1000.0	24:00	89	112	6010	23683	0	0
151	1	1000.0	24:00	127	243	6440	24702	0	0
152	0	1000.0	24:00	556690	13034	7382	26916	0	0
152	1	1000.0	24:00	125	583	8404	28596	41	0
153	0	1000.0	24:00	84	314	7593	27153	75	0
153	1	1000.0	24:00	105867	18886	7250	26699	0	0
154	0	1000.0	24:00	75	177	6111	23432	0	0
154	1	1000.0	24:00	157	211	6298	23962	0	0
155	0	1000.0	24:00	5992	1741	6159	23249	0	0
155	1	1000.0	24:00	99	305	5951	21663	88	0
156	0	1000.0	24:00	75	301	6384	23282	124	0
156	1	1000.0	24:00	9650	2062	5293	20351	0	0
157	0	1000.0	24:00	60	148	2945	11477	0	0
157	1	1000.0	24:00	33	54	2622	10225	0	0
158	0	1000.0	24:00	482	671	2557	10198	0	0
158	1	1000.0	24:00	40	113	2605	10105	67	0
159	0	1000.0	24:00	1244	1186	4767	18099	0	0
159	1	1000.0	24:00	82	238	4894	17160	75	0
160	0	1000.0	24:00	34100	10323	4195	26687	91545	0
160	1	1000.0	24:00	135924	110078	4193	18135	56578	0
161	0	1000.0	24:00	6746	1931	6495	24821	0	0
161	1	1000.0	24:00	95	253	5459	19866	37	0
162	0	1000.0	24:00	9716	1984	6739	25772	0	0
162	1	1000.0	24:00	101	227	6006	22029	70	0
163	0	1000.0	24:00	357409	214611	16034	23167	70713	0
163	1	1000.0	24:00	142110	61568	5105	28617	88978	0
164	0	1000.0	24:00	162926	31604	4480	16122	0	0
164	1	1000.0	24:00	95	331	6475	23380	74	0
165	0	1000.0	24:00	751328	11724	5626	21311	0	0
165	1	1000.0	24:00	92	297	5739	21597	76	0
166	0	1000.0	24:00	95226	14382	3578	24936	87080	0
166	1	1000.0	24:00	1292	1102	3243	24934	81397	0
167	0	1000.0	24:00	1539	1186	4902	18540	0	0
167	1	1000.0	24:00	62	201	4494	16779	74	0
168	0	1000.0	24:00	527	739	2997	11701	0	0
168	1	1000.0	24:00	36	137	3091	11367	69	0
169	0	1000.0	24:00	23	178	889	5842	19018	0
169	1	1000.0	24:00	137	245	390	6473	23794	0
170	0	1000.0	24:00	20993	3459	1919	13036	44763	0
170	1	1000.0	24:00	503	1030	2717	17179	52783	0
171	0	1000.0	24:00	1274	907	3535	25442	82079	0
171	1	1000.0	24:00	702606	50158	5539	24067	82020	0
172	0	1000.0	24:00	1108	831	1997	28487	99991	0
172	1	1000.0	24:00	2290	1092	1983	30441	107543	0
173	0	1000.0	24:00	440828	18220	6507	31948	105469	0
173	1	1000.0	24:00	2790	1756	5603	36568	109602	0
174	0	1000.0	24:00	389762	96905	11388	31044	87223	0
174	1	1000.0	24:00	596865	324496	15517	12390	32573	0
175	0	1000.0	24:00	34618	2212	2787	31391	105355	0
175	1	1000.0	24:00	447779	175896	3982	17019	59768	0
176	0	1000.0	24:00	30190	9285	3985	25690	89447	0
176	1	1000.0	24:00	187849	50870	3671	21499	68607	0
177	0	1000.0	24:00	615	1049	2777	16354	52236	0
177	1	1000.0	24:00	152659	11902	2670	13001	42776	0
178	0	1000.0	24:00	158	256	444	6720	24984	0
178	1	1000.0	24:00	82	206	842	5646	19088	0
179	0	1000.0	24:00	64	169	3832	14647	111	0
