HOUSEHOLD	PERSON	TRIP	LEG	MODE	EVENT	SCHEDULE	ACTUAL	LINK	OFFSET
39456	1	1	2	0	2	67	47	28	500
30354	1	1	2	0	2	222	197	-41	500
34244	1	1	2	0	2	267	189	-204	500
15658	1	1	2	0	2	89	88	-40	500
32360	1	1	2	0	2	222	177	174	500
33819	1	1	2	0	2	144	133	-41	500
46182	1	1	2	0	2	222	178	174	500
38404	1	1	2	0	2	167	143	-40	500
30706	1	1	2	0	2	67	51	28	500
35419	1	1	2	0	2	67	49	28	500
10305	1	1	2	0	2	267	195	216	500
38320	1	1	2	0	2	189	138	14	500
14905	1	1	2	0	2	267	194	-195	500
45752	1	1	2	0	2	245	179	205	500
19437	1	1	2	0	2	189	138	14	500
46396	1	1	2	0	2	67	52	28	500
59895	1	1	2	0	2	200	145	-14	500
3033	1	1	2	0	2	200	188	-38	500
54530	1	1	2	0	2	256	187	-51	500
15659	1	1	2	0	2	222	185	-173	500
28749	1	1	2	0	2	178	132	179	500
27218	1	1	2	0	2	222	185	182	500
52267	1	1	2	0	2	200	168	180	500
4195	1	1	2	0	2	144	129	185	500
23413	1	1	2	0	2	100	94	186	500
47943	1	1	2	0	2	222	196	171	500
29878	1	1	2	0	2	200	170	179	500
21729	1	1	2	0	2	200	156	-38	500
16489	1	1	2	0	2	256	203	178	500
46967	1	1	2	0	2	256	210	178	500
31560	1	1	2	0	2	222	201	177	500
32723	1	1	2	0	2	267	198	-206	500
41244	1	1	2	0	2	200	146	-192	500
56649	1	1	2	0	2	167	130	194	500
22994	1	1	2	0	2	178	178	-44	500
9134	1	1	2	0	2	200	171	-38	500
18335	1	1	2	0	2	178	160	181	500
52885	1	1	2	0	2	189	151	-172	500
21816	1	1	2	0	2	167	131	-40	500
37	1	1	2	0	2	233	196	181	500
56449	1	1	2	0	2	289	216	-144	500
23694	1	1	2	0	2	266	214	205	500
54107	1	1	2	0	2	233	193	111	500
28723	1	1	2	0	2	56	46	-19	500
7838	1	1	2	0	2	222	186	172	500
19522	1	1	2	0	2	178	139	181	500
35317	1	1	2	0	2	200	161	188	500
14420	1	1	2	0	2	245	187	179	500
48306	1	1	2	0	2	189	149	-33	500
38800	1	1	2	0	2	289	229	-41	500
59930	1	1	2	0	2	178	130	220	500
31098	1	1	2	0	2	245	187	-175	500
47173	1	1	2	0	2	233	181	-26	500
42388	1	1	2	0	2	189	149	178	500
2022	1	1	2	0	2	289	217	171	500
23844	1	1	2	0	2	233	206	185	500
46656	1	1	2	0	2	222	177	172	500
43646	1	1	2	0	2	200	148	-1	500
56823	1	1	2	0	2	222	208	202	500
21628	1	1	2	0	2	222	180	177	500
36902	1	1	2	0	2	278	224	175	500
6460	1	1	2	0	2	245	180	-205	500
55208	1	1	2	0	2	256	208	-80	500
1146	1	1	2	0	2	144	127	186	500
2088	1	1	2	0	2	267	197	215	500
9683	1	1	2	0	2	200	153	-192	500
21344	1	1	2	0	2	278	226	177	500
5758	1	1	2	0	2	222	173	172	500
10439	1	1	2	0	2	267	190	-14	500
30302	1	1	2	0	2	311	241	-49	500
35685	1	1	2	0	2	256	187	44	500
50009	1	1	2	0	2	278	240	189	500
36284	1	1	2	0	2	222	176	172	500
56051	1	1	2	0	2	322	236	-80	500
9538	1	1	2	0	2	300	233	178	500
31163	1	1	2	0	2	267	224	179	500
21510	1	1	2	0	2	322	245	-171	500
42905	1	1	2	0	2	266	243	178	500
24670	1	1	2	0	2	278	231	177	500
52508	1	1	2	0	2	222	211	-47	500
47496	1	1	2	0	2	267	208	-42	500
20731	1	1	2	0	2	178	193	-34	500
3151	1	1	2	0	2	311	244	-42	500
59413	1	1	2	0	2	178	177	-107	500
1344	1	1	2	0	2	333	250	-48	500
14617	1	1	2	0	2	178	146	187	500
19639	1	1	2	0	2	189	144	208	500
23829	1	1	2	0	2	311	252	48	500
51759	1	1	2	0	2	189	148	-32	500
14847	1	1	2	0	2	266	250	-43	500
42643	1	1	2	0	2	244	196	189	500
52358	1	1	2	0	2	233	196	-37	500
31228	1	1	2	0	2	144	119	177	500
14447	1	1	2	0	2	211	160	26	500
48314	1	1	2	0	2	100	90	-37	500
15319	1	1	2	0	2	233	190	186	500
8198	1	1	2	0	2	333	252	173	500
15983	1	1	2	0	2	200	146	-191	500
54390	1	1	2	0	2	245	188	-155	500
50400	1	1	2	0	2	222	185	-43	500
29422	1	1	2	0	2	189	148	-32	500
8425	1	1	2	0	2	300	248	-173	500
22201	1	1	2	0	2	322	243	-49	500
7157	1	1	2	0	2	245	181	-169	500
38867	1	1	2	0	2	222	176	-41	500
20312	1	1	2	0	2	322	259	-45	500
20630	1	1	2	0	2	300	254	-56	500
2568	1	1	2	0	2	244	196	-35	500
10476	1	1	2	0	2	167	130	-37	500
8438	1	1	2	0	2	356	263	197	500
22943	1	1	2	0	2	267	203	31	500
35681	1	1	2	0	2	322	252	-175	500
23799	1	1	2	0	2	244	239	-39	500
54907	1	1	2	0	2	133	107	-55	500
38311	1	1	2	0	2	134	98	-26	500
15440	1	1	2	0	2	311	259	178	500
3220	1	1	2	0	2	322	257	-48	500
25017	1	1	2	0	2	222	178	-43	500
47340	1	1	2	0	2	178	141	171	500
697	1	1	2	0	2	322	267	46	500
25326	1	1	2	0	2	300	261	160	500
45681	1	1	2	0	2	289	245	-41	500
11405	1	1	2	0	2	289	250	24	500
