LINK	ANODE	BNODE	AB_000_015	AB_015_030	AB_030_045	AB_045_100	AB_100_115	AB_115_130	AB_130_145	AB_145_200	AB_200_215	AB_215_230	AB_230_245	AB_245_300	AB_300_315	AB_315_330	AB_330_345	AB_345_400	BA_000_015	BA_015_030	BA_030_045	BA_045_100	BA_100_115	BA_115_130	BA_130_145	BA_145_200	BA_200_215	BA_215_230	BA_230_245	BA_245_300	BA_300_315	BA_315_330	BA_330_345	BA_345_400
93	53	54	0.07	0.06	0.04	0.04	0.04	0.04	0.04	0.07	0.04	0.04	0.06	0.14	0.27	0.81	0.14	0.03	0.20	0.23	0.21	0.19	0.16	0.12	0.11	0.11	0.03	0.04	0.04	0.06	0.13	0.22	0.11	0.00
94	54	55	0.02	0.04	0.02	0.02	0.03	0.07	0.05	0.07	0.04	0.02	0.04	0.08	0.16	0.34	0.04	0.01	0.11	0.09	0.15	0.13	0.12	0.16	0.11	0.11	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00
95	45	56	0.14	0.14	0.12	0.19	0.20	0.19	0.14	0.12	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.11	0.09	0.04	0.09	0.10	0.07	0.17	0.13	0.12	0.12	0.06	0.06	0.06	0.05	0.04
96	46	57	0.17	0.19	0.20	0.28	0.40	0.23	0.18	0.17	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.19	0.12	0.09	0.10	0.08	0.11	0.20	0.14	0.14	0.19	0.08	0.07	0.05	0.06	0.06
97	47	58	0.21	0.34	0.42	0.50	0.45	0.37	0.32	0.25	0.07	0.04	0.02	0.00	0.00	0.00	0.00	0.00	0.23	0.31	0.26	0.19	0.18	0.18	0.15	0.25	0.23	0.33	0.34	0.10	0.08	0.05	0.04	0.05
98	48	59	0.21	0.27	0.34	0.32	0.42	0.34	0.18	0.16	0.09	0.05	0.02	0.02	0.00	0.00	0.00	0.00	0.20	0.19	0.22	0.11	0.14	0.17	0.14	0.14	0.21	0.11	0.13	0.34	0.16	0.06	0.04	0.05
99	49	60	0.20	0.23	0.32	0.35	0.29	0.24	0.17	0.12	0.15	0.11	0.09	0.02	0.07	0.01	0.00	0.00	0.12	0.18	0.22	0.14	0.15	0.10	0.09	0.20	0.14	0.15	0.10	0.11	0.26	0.22	0.04	0.06
100	50	61	0.27	0.38	0.38	0.28	0.16	0.33	0.38	0.53	0.57	0.38	0.17	0.08	0.00	0.00	0.00	0.00	0.27	0.34	0.33	0.28	0.29	0.17	0.23	0.16	0.14	0.17	0.21	0.32	0.42	0.21	0.11	0.10
101	51	62	0.23	0.22	0.27	0.24	0.20	0.20	0.20	0.20	0.15	0.09	0.13	0.04	0.20	0.06	0.00	0.00	0.15	0.24	0.17	0.07	0.06	0.14	0.20	0.25	0.16	0.13	0.16	0.11	0.29	0.11	0.01	0.02
102	52	63	0.21	0.24	0.27	0.30	0.20	0.19	0.20	0.21	0.24	0.04	0.03	0.04	0.03	0.14	0.01	0.00	0.19	0.16	0.17	0.17	0.07	0.19	0.21	0.30	0.18	0.04	0.04	0.06	0.30	0.28	0.01	0.01
