LINK	ANODE	BNODE	AB_000_015	AB_015_030	AB_030_045	AB_045_100	AB_100_115	AB_115_130	AB_130_145	AB_145_200	AB_200_215	AB_215_230	AB_230_245	AB_245_300	AB_300_315	AB_315_330	AB_330_345	AB_345_400	BA_000_015	BA_015_030	BA_030_045	BA_045_100	BA_100_115	BA_115_130	BA_130_145	BA_145_200	BA_200_215	BA_215_230	BA_230_245	BA_245_300	BA_300_315	BA_315_330	BA_330_345	BA_345_400
34	14	25	0.98	1.02	0.98	1.00	1.02	1.05	0.96	1.33	18.93	1.00	0.94	1.00	1.00	1.00	1.00	1.00	0.83	0.83	0.82	0.82	0.83	0.82	0.82	0.82	0.81	0.82	0.81	0.80	0.80	0.80	0.80	0.80
35	15	26	0.97	1.05	1.18	0.87	0.98	1.93	15.30	29.99	29.99	29.99	29.99	1.00	1.00	1.00	1.00	1.00	0.74	0.73	0.73	0.73	0.73	0.72	0.74	0.73	0.74	0.74	0.73	0.72	0.72	0.73	0.70	0.72
36	16	27	1.21	1.31	1.29	7.85	21.73	29.99	29.99	29.99	29.99	29.99	29.99	1.00	1.00	1.00	1.00	0.77	0.74	0.74	0.73	0.74	0.74	0.73	0.73	0.75	0.73	0.73	0.73	0.72	0.72	0.71	0.72	0.71
37	17	28	1.05	1.14	1.13	1.10	1.15	1.20	2.61	6.57	14.08	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.84	0.84	0.83	0.82	0.82	0.82	0.82	0.83	0.81	0.81	0.81	0.80	0.82	0.80	0.80	0.81
38	18	29	1.59	3.31	1.58	0.98	1.02	1.48	0.97	1.00	1.20	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.73	0.73	0.72	0.72	0.73	0.72	0.72	0.73	0.73	0.72	0.72	0.72	0.71	0.72	0.73	0.73
39	19	30	0.95	1.08	1.05	0.87	0.89	1.11	1.03	0.90	0.92	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.73	0.73	0.73	0.73	0.73	0.72	0.72	0.72	0.72	0.71	0.72	0.71	0.71	0.72	0.73	1.00
40	20	31	1.32	2.40	3.77	4.94	6.02	4.97	2.22	1.21	0.99	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.84	0.85	0.84	0.83	0.84	0.83	0.82	0.81	0.81	0.82	0.81	0.81	0.80	0.81	0.81	0.84
41	21	32	0.89	0.86	0.83	0.87	0.84	0.81	0.82	0.81	0.80	1.00	1.00	0.72	1.00	1.00	1.00	1.00	0.73	0.73	0.73	0.73	0.72	0.72	0.72	0.73	0.72	0.71	0.73	0.72	0.71	0.71	0.72	0.70
42	22	33	0.80	0.78	0.79	0.79	0.79	0.80	0.79	0.80	0.81	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.74	0.73	0.73	0.73	0.72	0.72	0.71	0.73	0.73	0.72	0.73	0.73	0.72	0.71	0.72	1.00
43	23	24	0.82	0.83	0.82	0.83	0.82	0.83	0.82	0.83	0.80	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.82	0.81	0.81	0.81	0.81	0.81	0.81	0.81	0.81	0.81	0.81	0.80	0.81	0.80	0.80	0.80
44	24	25	1.22	2.80	7.85	10.05	7.22	2.72	1.62	2.54	20.29	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.86	0.83	0.84	0.83	0.83	0.82	0.82	0.84	0.82	0.82	0.82	0.81	0.81	0.81	0.80	0.80
45	25	26	0.82	0.82	0.82	0.82	0.82	1.27	15.32	45.05	41.71	13.33	0.81	0.81	0.94	0.94	0.94	0.83	1.17	1.46	1.47	1.01	1.02	1.00	0.99	1.03	1.01	1.00	1.13	0.87	0.95	0.95	0.96	0.88
46	26	27	0.82	0.81	0.82	7.85	23.71	43.31	45.05	45.05	29.25	12.51	9.23	0.80	1.00	1.00	1.00	1.00	0.85	0.84	0.84	0.82	0.82	0.85	0.99	1.12	5.44	3.15	0.85	0.80	0.80	0.80	0.79	0.80
47	27	28	1.86	6.76	33.12	45.05	45.05	45.05	45.05	45.05	22.30	11.15	7.53	8.90	0.83	0.84	1.00	1.00	0.91	0.86	0.85	1.27	2.49	3.26	10.43	9.97	45.05	28.15	31.72	0.81	0.81	0.81	0.80	0.81
48	28	29	0.82	0.83	0.83	0.83	0.83	0.83	0.83	0.83	0.82	0.82	0.83	0.81	0.81	0.81	0.80	0.81	1.19	1.44	1.14	1.09	1.03	1.08	1.07	1.06	1.03	0.88	0.97	0.97	0.97	1.00	0.87	1.00
49	29	30	0.81	0.82	0.82	0.82	0.82	0.83	0.81	0.81	0.80	0.80	0.81	0.79	0.80	0.80	0.79	0.79	0.83	0.82	0.81	0.82	0.81	0.81	0.81	0.80	0.80	0.81	0.88	0.80	0.79	0.80	0.79	1.00
50	30	31	1.30	2.03	3.02	4.39	4.37	2.58	2.34	2.46	4.69	9.84	7.90	5.96	0.85	0.88	0.87	0.79	0.81	0.82	0.82	0.83	0.82	0.82	0.82	0.81	0.80	0.79	0.91	0.80	0.81	0.81	0.81	0.84
51	31	32	0.83	0.82	0.82	0.82	0.82	0.82	0.82	0.82	0.82	0.81	0.83	0.81	0.80	0.81	0.82	0.82	0.99	1.05	0.98	0.99	0.99	0.99	1.00	1.47	0.94	1.00	1.00	1.00	1.00	1.00	1.00	1.00
52	32	33	0.82	0.81	0.81	0.80	0.80	0.80	0.80	0.81	0.80	0.80	0.81	0.81	0.82	0.82	0.82	0.80	0.82	0.82	0.82	0.82	0.82	0.82	0.82	0.82	0.80	1.00	1.00	1.00	1.00	1.00	1.00	1.00
53	23	34	0.73	0.72	0.73	0.73	0.73	0.72	0.72	0.73	0.74	0.73	0.74	0.74	0.73	0.72	0.75	0.76	0.78	0.78	0.77	0.79	0.78	0.77	0.78	0.78	0.76	0.77	0.76	0.76	0.74	0.73	0.75	0.75
54	24	35	0.73	0.72	0.72	0.72	0.72	0.72	0.72	0.73	0.72	0.73	0.73	0.73	0.76	0.72	0.74	1.00	0.82	0.81	0.80	0.80	0.80	0.84	0.79	0.84	0.76	0.78	0.76	0.74	0.76	0.75	0.71	0.77
55	25	36	0.81	0.82	0.82	0.82	0.82	0.83	0.84	0.88	0.81	0.85	0.89	0.92	0.84	0.85	0.80	0.85	2.11	7.10	18.02	26.50	25.89	15.22	16.68	11.92	31.28	4.29	0.89	0.93	0.92	0.90	0.87	0.91
56	26	37	0.72	0.72	0.72	0.73	0.72	0.72	0.73	0.74	0.72	0.72	0.72	0.75	0.75	0.73	0.74	0.73	1.10	1.36	1.06	0.87	0.85	1.31	8.98	14.84	29.99	26.77	2.62	0.76	0.76	0.77	0.76	0.75
57	27	38	0.72	0.72	0.72	0.73	0.72	0.72	0.73	0.73	0.72	0.73	0.73	0.72	0.71	0.74	0.72	1.00	0.97	1.07	1.33	5.95	11.53	22.05	17.04	24.99	29.99	28.83	7.21	0.77	0.75	0.77	0.76	0.75
58	28	39	0.82	0.82	0.82	1.05	2.71	9.75	10.62	3.04	0.82	0.82	0.81	0.82	1.00	0.90	1.00	1.00	2.01	8.02	21.87	37.54	26.50	30.85	21.66	9.08	2.46	1.00	0.95	0.94	0.98	1.04	0.93	0.91
59	29	40	0.72	0.72	0.73	0.73	0.72	0.73	0.73	0.72	0.72	0.72	0.73	0.73	0.71	0.75	1.00	1.00	1.37	3.27	1.77	1.14	0.93	1.01	1.01	0.91	0.83	0.78	0.81	0.76	0.76	0.75	0.74	0.76
60	30	41	0.72	0.72	0.72	0.73	0.72	0.72	0.73	0.73	0.71	0.72	0.72	0.70	0.73	0.78	1.00	0.74	1.04	1.22	1.06	0.92	0.91	0.84	0.82	0.84	0.77	0.82	0.76	0.77	0.75	0.77	0.75	1.00
61	31	42	0.81	0.82	0.82	0.83	1.84	18.31	38.17	45.05	45.05	45.05	45.05	39.51	33.12	2.09	1.00	1.00	1.10	1.30	1.50	2.03	1.04	1.02	0.96	0.92	0.85	0.85	1.00	1.00	0.98	1.01	0.95	1.09
62	32	43	0.73	0.73	0.73	0.73	0.73	0.72	0.72	0.73	0.71	0.72	0.73	0.72	0.71	0.75	0.77	1.00	0.77	0.79	0.79	0.85	0.79	0.81	0.78	0.78	0.77	0.75	0.77	0.81	0.74	0.76	0.74	0.73
63	33	44	0.72	0.73	0.73	0.73	0.72	0.72	0.73	0.73	0.72	0.73	0.74	0.74	0.74	0.75	0.73	0.73	0.78	0.78	0.77	0.76	0.79	0.77	0.79	0.79	0.78	1.00	0.84	0.75	0.74	0.74	0.75	0.75
64	34	35	0.74	0.73	0.73	0.73	0.73	0.73	0.73	0.73	0.75	1.00	0.71	0.70	0.77	1.00	1.00	1.00	0.72	0.73	0.73	0.72	0.72	0.72	0.73	0.72	0.73	0.74	0.73	0.74	0.74	0.73	0.74	0.73
