ACCESS	FROM_ID	FROM_TYPE	TO_ID	TO_TYPE	TIME	COST
337	169	ACTIVITY	169	PARKING	0	0
338	169	PARKING	169	ACTIVITY	0	0
339	170	ACTIVITY	170	PARKING	0	0
340	170	PARKING	170	ACTIVITY	0	0
341	171	ACTIVITY	171	PARKING	0	0
342	171	PARKING	171	ACTIVITY	0	0
343	172	ACTIVITY	172	PARKING	0	0
344	172	PARKING	172	ACTIVITY	0	0
345	173	ACTIVITY	173	PARKING	0	0
346	173	PARKING	173	ACTIVITY	0	0
347	174	ACTIVITY	174	PARKING	0	0
348	174	PARKING	174	ACTIVITY	0	0
349	175	ACTIVITY	175	PARKING	0	0
350	175	PARKING	175	ACTIVITY	0	0
351	176	ACTIVITY	176	PARKING	0	0
352	176	PARKING	176	ACTIVITY	0	0
353	177	ACTIVITY	177	PARKING	0	0
354	177	PARKING	177	ACTIVITY	0	0
355	178	ACTIVITY	178	PARKING	0	0
356	178	PARKING	178	ACTIVITY	0	0
357	179	ACTIVITY	179	PARKING	0	0
358	179	PARKING	179	ACTIVITY	0	0
359	180	ACTIVITY	180	PARKING	0	0
360	180	PARKING	180	ACTIVITY	0	0
361	181	ACTIVITY	181	PARKING	0	0
362	181	PARKING	181	ACTIVITY	0	0
363	182	ACTIVITY	182	PARKING	0	0
364	182	PARKING	182	ACTIVITY	0	0
365	183	ACTIVITY	183	PARKING	0	0
366	183	PARKING	183	ACTIVITY	0	0
367	184	ACTIVITY	184	PARKING	0	0
368	184	PARKING	184	ACTIVITY	0	0
369	185	ACTIVITY	185	PARKING	0	0
370	185	PARKING	185	ACTIVITY	0	0
371	186	ACTIVITY	186	PARKING	0	0
372	186	PARKING	186	ACTIVITY	0	0
373	187	ACTIVITY	187	PARKING	0	0
374	187	PARKING	187	ACTIVITY	0	0
375	188	ACTIVITY	188	PARKING	0	0
376	188	PARKING	188	ACTIVITY	0	0
377	189	ACTIVITY	189	PARKING	0	0
378	189	PARKING	189	ACTIVITY	0	0
379	190	ACTIVITY	190	PARKING	0	0
380	190	PARKING	190	ACTIVITY	0	0
381	191	ACTIVITY	191	PARKING	0	0
382	191	PARKING	191	ACTIVITY	0	0
383	192	ACTIVITY	192	PARKING	0	0
384	192	PARKING	192	ACTIVITY	0	0
385	193	ACTIVITY	193	PARKING	0	0
386	193	PARKING	193	ACTIVITY	0	0
387	194	ACTIVITY	194	PARKING	0	0
388	194	PARKING	194	ACTIVITY	0	0
389	195	ACTIVITY	195	PARKING	0	0
390	195	PARKING	195	ACTIVITY	0	0
391	196	ACTIVITY	196	PARKING	0	0
392	196	PARKING	196	ACTIVITY	0	0
393	197	ACTIVITY	197	PARKING	0	0
394	197	PARKING	197	ACTIVITY	0	0
395	198	ACTIVITY	198	PARKING	0	0
396	198	PARKING	198	ACTIVITY	0	0
397	199	ACTIVITY	199	PARKING	0	0
398	199	PARKING	199	ACTIVITY	0	0
399	200	ACTIVITY	200	PARKING	0	0
400	200	PARKING	200	ACTIVITY	0	0
401	201	ACTIVITY	201	PARKING	0	0
402	201	PARKING	201	ACTIVITY	0	0
